Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (ozf·in),Thrust (ozf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (ozf/W),Overall Efficiency (ozf/W),Vibration (g),App message
18.812729999989273,1577,,,,-0.390625,0.10546875,-1.1171875,32.825311305752464,40.569519646479996,12.737998962402344,13.91479492,5601,0,177.24664327688515,135.95585806647262,76.70433445336943,0.2984021448097104,0.22888737917086804,0.8984375,
18.834995000004767,1578,,,,0.03125,-0.15625,-0.966796875,32.77257932432454,40.64399350483573,12.786999702453613,15.9765625,5607,0,204.29229993373156,135.87374513414903,66.50947939703251,0.29913058968609163,0.19895019791749297,0.8984375,
18.857420000001788,1578,,,,-0.3125,-0.41796875,-0.958984375,32.72530844541999,40.720073062396246,12.729143142700195,15.728236198425293,5615,0,200.2069699519543,135.87592825015176,67.86773122,0.2996857028820391,0.20338988733593166,0.900390625,
18.88020000000298,1579,,,,0.0625,-0.17578125,-0.9609375,32.96383839410372,40.81415938961053,12.729714393615723,16.37765121459961,5629,0,208.48282240010667,137.22212384980864,65.81939090716111,0.2974313342816509,0.19576749259122486,0.90625,
18.904369999989868,1580,,,,0.19921875,-0.16796875,-0.921875,34.501815901975306,41.06675116689814,12.78800106048584,15.023716926574707,5662,0,192.12330798947642,144.46242193002627,75.19255391,0.28427289684226514,0.2137520512042588,0.91796875,
18.927449999988077,1581,,,,-0.09375,0.201171875,-0.919921875,34.37139181912692,41.391943486802546,12.770999908447266,15.0958252,5652,0,192.78878218727186,143.65035594342388,74.51178139809207,0.28814368899374393,0.21470099565541678,0.9296875,
18.950430000007152,1581,,,,-0.099609375,0.2421875,-0.96875,32.50879411886983,41.478460089194236,12.774286270141602,16.15792465209961,5651,0,206.40595503729855,135.8429444515121,65.81348121809984,0.3053412914205463,0.20095573348016474,0.93359375,
18.97578000000119,1582,,,,-0.287109375,0.150390625,-1.099609375,32.732336646308056,41.488705979358166,12.759001731872559,15.45288086,5652,0,197.16333364718594,136.80714879598423,69.38772350075692,0.3032641667083409,0.21042810147245813,0.939453125,
18.99952999998629,1583,,,,-0.0234375,-0.1875,-0.9921875,33.347596311308884,41.592044192466744,12.760000228881836,16.05407715,5657,0,204.85002808854915,139.50098066346098,68.09907812322086,0.2981487584865474,0.203036556,0.9453125,
19.022340000003577,1584,,,,0.625,0.046875,-0.962890625,33.55899748639868,41.65971294466882,12.768570899963379,16.827566146850586,5672,0,214.86397141988527,140.7564035092651,65.50954195768828,0.29597028558581084,0.19388877841812657,0.94921875,
19.047175000011922,1585,,,,-0.734375,-0.150390625,-1.392578125,33.23973875781773,41.77536151834749,12.762285232543945,15.710798263549805,5687,0,200.50568867037873,139.79625968568567,69.72184211466623,0.2988303235885863,0.20835000640318033,0.958984375,
